track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_genre
6ULjJomtdRstnT9BPMAf9d,58,120000,0.853,0.511,7,-6.451,0,0.422,0.188,0,0.223,0.795,90.171,4,1
05uEelCxZhQjzYNgAntl45,47,234440,0.439,0.73,4,-2.324,1,0.0279,0.276,0,0.688,0.314,134.858,4,0
2L44djRjs3foqu3J6GSHeg,0,161880,0.689,0.856,5,-3.394,0,0.0813,0.0493,0,0.232,0.706,126.108,4,1
0RGp4KA9wvndxqPIWoKwnD,61,195652,0.726,0.818,6,-6.522,0,0.176,0.538,1.01e-6,0.111,0.812,92.033,4,1
2BNJnr2IY3KaDVdOM9wnSB,47,141290,0.7,0.415,1,-12.962,0,0.0371,0.346,0.941,0.0967,0.35,124.009,4,0
5WWplXimzIjlJiN2N7T9Q3,74,211384,0.826,0.779,0,-5.609,1,0.375,0.35,0,0.0657,0.936,130.091,4,1
6qK47Oa7Vbumzeb69KuMhZ,0,181028,0.75,0.856,2,-5.802,1,0.0457,0.0778,3.65e-5,0.117,0.94,130.034,4,1
3bHI0o9TLQ2jJzjr0ES7dX,59,189151,0.707,0.941,1,-2.606,0,0.041,0.0173,3.65e-5,0.134,0.337,99.013,4,1
3cGGbBUCRL2nurtbbrGkL4,0,136266,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,1,1
0U8fm89VKJwDYa0mzh6foW,57,144000,0.698,0.828,10,-5.92,0,0.241,0.0868,0,0.212,0.86,160.169,4,1
52UhKglatE25UoP4iS7Vg2,34,204400,0.65,0.774,11,-5.288,1,0.0398,0.00383,3.44e-6,0.307,0.654,137.971,4,0
2ZiugPYLX2ioPg1WWyc2Gy,21,150506,0.411,0.925,2,-6.938,1,0.0692,2.57e-4,1.55e-4,0.236,0.889,175.921,4,0
61sor95BL63MCvZYgKK8KM,48,295890,0.487,0.694,10,-4.049,0,0.0397,0.131,1.46e-5,0.106,0.287,145.919,4,0
41vUI66skZegzFHxwMkk8t,0,166039,0.817,0.512,8,-6.943,1,0.0984,0.037,0,0.216,0.17,130.04,4,1
5Ky3Po9jHjm6P9Bdhu7b4b,48,182333,0.653,0.682,11,-4.503,1,0.0284,0.271,1.67e-6,0.826,0.438,106.969,3,0
2u05JBdp35sXaMq4oq586x,32,213026,0.583,0.778,0,-6.237,0,0.0387,0.222,0,0.163,0.434,176.105,4,0
4dJrjWtAhEkW7VdPYSL1Ip,60,228257,0.649,0.947,7,-4.087,1,0.26,0.218,0.383,0.0532,0.579,164.943,4,1
5rlZ6H5ljwYfLUGcytIR7x,22,221000,0.622,0.845,6,-3.181,0,0.0546,0.00371,5.97e-5,0.294,0.686,99.962,4,0
6TzrZUKi2XFvGIBzqMGR7e,0,194013,0.787,0.872,9,-2.117,1,0.143,0.0067,1.93e-4,0.136,0.696,92.025,4,1
0M7kvopFlauSwmfObUPzAx,1,175347,0.69,0.745,3,-8.848,1,0.205,0.167,0,0.184,0.666,155.992,4,1
3uRrymHwcED49Q4fAnJJgD,0,197610,0.706,0.627,4,-2.94,0,0.202,0.193,0,0.126,0.38,158.041,4,1
